id,age,sex,sleep,stress,shift,fatigue,fatigue_label,sex_label,age_group
1,29,0.0,6.19,4.4,1,1,Sedang,Female,Muda (<30)
2,55,0.0,8.32,4.0,1,0,Rendah,Female,Senior (>45)
3,42,1.0,3.74,7.8,1,2,Tinggi,Male,Dewasa (30-45)
4,37,0.0,6.79,4.9,1,0,Rendah,Female,Dewasa (30-45)
5,23,1.0,5.02,7.4,1,1,Sedang,Male,Muda (<30)
6,23,0.0,8.16,5.5,1,1,Sedang,Female,Muda (<30)
7,20,0.0,7.27,5.0,1,0,Rendah,Female,Muda (<30)
8,48,0.0,8.04,5.5,1,1,Sedang,Female,Senior (>45)
9,37,1.0,6.04,6.0,1,1,Sedang,Male,Dewasa (30-45)
10,41,0.0,6.22,5.7,1,1,Sedang,Female,Dewasa (30-45)
11,18,1.0,4.97,8.8,1,2,Tinggi,Male,Muda (<30)
12,58,0.0,6.57,6.9,1,1,Sedang,Female,Senior (>45)
13,46,1.0,7.25,7.5,1,1,Sedang,Male,Senior (>45)
14,25,1.0,5.81,5.6,1,1,Sedang,Male,Muda (<30)
15,24,1.0,5.52,5.6,1,1,Sedang,Male,Muda (<30)
16,24,0.0,6.95,4.1,1,0,Rendah,Female,Muda (<30)
17,27,0.0,7.37,3.0,1,0,Rendah,Female,Muda (<30)
18,34,1.0,7.61,3.6,1,0,Rendah,Male,Dewasa (30-45)
19,31,0.0,5.98,5.4,1,1,Sedang,Female,Dewasa (30-45)
20,27,1.0,4.8,4.8,1,1,Sedang,Male,Muda (<30)
21,37,0.0,7.56,3.7,1,0,Rendah,Female,Dewasa (30-45)
22,22,1.0,5.81,5.0,1,1,Sedang,Male,Muda (<30)
23,27,0.0,7.78,2.5,1,0,Rendah,Female,Muda (<30)
24,29,0.0,7.29,5.2,1,1,Sedang,Female,Muda (<30)
25,32,1.0,5.34,6.9,1,1,Sedang,Male,Dewasa (30-45)
26,44,1.0,5.76,6.0,1,1,Sedang,Male,Dewasa (30-45)
27,24,1.0,9.98,2.2,1,0,Rendah,Male,Muda (<30)
28,34,0.0,5.36,7.9,1,1,Sedang,Female,Dewasa (30-45)
29,36,1.0,8.13,5.6,1,1,Sedang,Male,Dewasa (30-45)
30,19,1.0,3.77,7.3,1,2,Tinggi,Male,Muda (<30)
31,37,0.0,4.7,7.5,1,2,Tinggi,Female,Dewasa (30-45)
32,23,0.0,6.37,5.6,1,1,Sedang,Female,Muda (<30)
33,20,0.0,7.99,4.3,1,0,Rendah,Female,Muda (<30)
34,55,0.0,8.52,4.5,1,0,Rendah,Female,Senior (>45)
35,57,0.0,5.88,6.2,1,1,Sedang,Female,Senior (>45)
36,45,1.0,6.44,5.1,1,1,Sedang,Male,Dewasa (30-45)
37,27,1.0,6.76,6.8,1,1,Sedang,Male,Muda (<30)
38,21,0.0,6.38,5.9,1,1,Sedang,Female,Muda (<30)
39,40,0.0,7.18,4.7,1,0,Rendah,Female,Dewasa (30-45)
40,31,1.0,7.69,4.6,1,0,Rendah,Male,Dewasa (30-45)
41,22,1.0,4.05,5.8,1,1,Sedang,Male,Muda (<30)
42,33,1.0,5.34,8.1,1,1,Sedang,Male,Dewasa (30-45)
43,19,0.0,5.52,5.4,1,1,Sedang,Female,Muda (<30)
44,51,0.0,5.8,7.8,1,1,Sedang,Female,Senior (>45)
45,26,1.0,6.68,5.4,1,1,Sedang,Male,Muda (<30)
46,39,1.0,5.24,7.3,1,1,Sedang,Male,Dewasa (30-45)
47,27,1.0,7.57,5.9,1,1,Sedang,Male,Muda (<30)
48,34,1.0,6.94,5.3,1,1,Sedang,Male,Dewasa (30-45)
49,35,1.0,5.99,6.7,1,1,Sedang,Male,Dewasa (30-45)
50,24,1.0,7.93,6.7,1,1,Sedang,Male,Muda (<30)
51,58,1.0,9.42,1.6,1,0,Rendah,Male,Senior (>45)
52,43,1.0,6.03,6.3,1,1,Sedang,Male,Dewasa (30-45)
53,54,1.0,6.22,6.3,1,1,Sedang,Male,Senior (>45)
54,50,0.0,5.48,6.4,1,1,Sedang,Female,Senior (>45)
55,37,0.0,6.98,5.8,1,1,Sedang,Female,Dewasa (30-45)
56,52,0.0,4.99,5.1,1,1,Sedang,Female,Senior (>45)
57,21,0.0,6.29,4.5,1,1,Sedang,Female,Muda (<30)
58,24,0.0,3.59,7.9,1,2,Tinggi,Female,Muda (<30)
59,19,1.0,7.77,5.9,1,1,Sedang,Male,Muda (<30)
60,28,1.0,6.29,4.2,1,1,Sedang,Male,Muda (<30)
61,30,,6.92,6.7,1,1,Sedang,,Muda (<30)
62,26,1.0,5.52,5.3,1,1,Sedang,Male,Muda (<30)
63,46,1.0,6.69,6.4,1,1,Sedang,Male,Senior (>45)
64,29,1.0,4.12,7.8,1,2,Tinggi,Male,Muda (<30)
65,27,0.0,8.95,3.0,1,0,Rendah,Female,Muda (<30)
66,35,1.0,6.77,6.9,1,1,Sedang,Male,Dewasa (30-45)
67,23,1.0,6.11,6.0,1,1,Sedang,Male,Muda (<30)
68,45,0.0,4.86,7.6,1,2,Tinggi,Female,Dewasa (30-45)
69,20,0.0,7.93,6.1,1,1,Sedang,Female,Muda (<30)
70,62,1.0,6.76,4.0,1,0,Rendah,Male,Senior (>45)
71,43,0.0,5.44,6.1,1,1,Sedang,Female,Dewasa (30-45)
72,24,,5.57,7.5,1,1,Sedang,,Muda (<30)
73,18,1.0,7.3,2.5,1,0,Rendah,Male,Muda (<30)
74,45,1.0,7.48,5.3,1,1,Sedang,Male,Dewasa (30-45)
75,41,1.0,7.32,2.9,1,0,Rendah,Male,Dewasa (30-45)
76,41,0.0,6.17,4.9,1,1,Sedang,Female,Dewasa (30-45)
77,43,1.0,5.76,6.3,1,1,Sedang,Male,Dewasa (30-45)
78,20,0.0,6.58,8.9,1,1,Sedang,Female,Muda (<30)
79,29,0.0,7.87,6.5,1,1,Sedang,Female,Muda (<30)
80,22,0.0,5.06,6.0,1,1,Sedang,Female,Muda (<30)
81,48,0.0,6.42,6.0,1,1,Sedang,Female,Senior (>45)
82,37,,5.86,5.1,1,1,Sedang,,Dewasa (30-45)
83,28,0.0,5.29,7.2,1,1,Sedang,Female,Muda (<30)
84,20,1.0,5.15,3.3,1,1,Sedang,Male,Muda (<30)
85,27,1.0,7.22,5.4,1,1,Sedang,Male,Muda (<30)
86,28,0.0,8.0,4.5,1,0,Rendah,Female,Muda (<30)
87,41,0.0,6.7,3.6,1,0,Rendah,Female,Dewasa (30-45)
88,38,0.0,4.34,5.0,1,1,Sedang,Female,Dewasa (30-45)
89,49,0.0,4.82,7.7,1,2,Tinggi,Female,Senior (>45)
90,33,1.0,5.59,6.4,1,1,Sedang,Male,Dewasa (30-45)
91,22,1.0,3.0,5.4,1,1,Sedang,Male,Muda (<30)
92,41,,5.59,5.6,1,1,Sedang,,Dewasa (30-45)
93,43,1.0,3.77,7.8,1,2,Tinggi,Male,Dewasa (30-45)
94,35,1.0,7.43,3.1,1,0,Rendah,Male,Dewasa (30-45)
95,43,0.0,6.51,4.3,1,0,Rendah,Female,Dewasa (30-45)
96,33,0.0,6.44,5.3,1,1,Sedang,Female,Dewasa (30-45)
97,34,0.0,7.76,3.7,1,0,Rendah,Female,Dewasa (30-45)
98,31,0.0,5.88,5.7,1,1,Sedang,Female,Dewasa (30-45)
99,19,1.0,6.23,6.4,1,1,Sedang,Male,Muda (<30)
100,21,1.0,6.89,6.0,1,1,Sedang,Male,Muda (<30)
101,19,0.0,7.27,5.0,1,0,Rendah,Female,Muda (<30)
102,38,1.0,6.39,4.9,1,1,Sedang,Male,Dewasa (30-45)
103,27,0.0,7.38,3.6,1,0,Rendah,Female,Muda (<30)
104,34,1.0,5.26,6.2,1,1,Sedang,Male,Dewasa (30-45)
105,51,0.0,7.97,3.9,1,0,Rendah,Female,Senior (>45)
106,26,0.0,6.02,5.0,1,1,Sedang,Female,Muda (<30)
107,31,1.0,8.84,4.1,1,0,Rendah,Male,Dewasa (30-45)
108,42,1.0,6.61,5.3,1,1,Sedang,Male,Dewasa (30-45)
109,25,0.0,5.64,6.4,1,1,Sedang,Female,Muda (<30)
110,20,0.0,7.77,2.8,1,0,Rendah,Female,Muda (<30)
